id,name,dob,height(m),weight(kg),sport,country,num_followers,num_articles,personal_best,event,coach_id
1,oh jin-hyek,2006-03-19,1.56,53,archery,south korea,2462,56,77,men's individual,c_001
2,takaharu furukawa,2006-03-20,1.8,82,archery,japan,6293,59,23,men's individual,c_032
3,dai xiaoxiang,2006-03-21,1.77,81,archery,china,111,79,47,men's individual,c_039
15,nicola adams,2006-03-22,1.72,63,boxing,great britan,2320,48,23,women's flyweight,c_008
16,ren cancan,2006-03-23,1.98,88,boxing,china,574,47,44,women's flyweight,c_005
17,marlen esparza,2006-03-24,1.91,66,boxing,usa,9259,42,35,women's flyweight,c_007
18,mary kom,2006-03-25,1.59,59,boxing,india,7972,57,80,women's flyweight,c_004
25,alexander vinokourov,2006-03-26,1.85,55,cycling,kazakhstan,2641,60,94.62,men's roadrace,c_009
26,rigoberto uran,2006-03-27,1.61,64,cycling,columbia,8526,34,46.29,men's roadrace,c_010
27,alexander kristoff,2006-03-28,1.51,58,cycling,norway,4502,10,20.63,men's roadrace,c_011
9,ashton eaton,2006-03-29,1.68,76,athletics,usa,7576,31,39,decathlon,c_013
10,trey hardee,2006-03-30,1.62,59,athletics,usa,8145,18,55,decathlon,c_013
11,leonel suarez,2006-03-31,1.5,86,athletics,cuba,7634,59,11,decathlon,c_014
34,yana shemyakina,2006-04-01,1.8,76,fencing,ukraine,366,9,51,individual epee,c_016
35,britta heidemann,2006-04-02,1.84,64,fencing,germany,9944,56,22,individual epee,c_018
36,sun yujie,2006-04-03,1.58,64,fencing,china,4636,10,28,individual epee,c_017
42,gabby douglas,2006-04-04,1.79,90,gymnastics,usa,3372,49,51,individual all around,c_020
43,viktoria komova,2006-04-05,1.57,65,gymnastics,russia,1087,3,82,individual all around,c_022
44,aliya mustafina,2006-04-06,1.61,56,gymnastics,russia,5116,30,11,individual all around,c_022
50,leuris pupo,2006-04-07,1.98,95,shooting,cuba,8523,40,33,10m air rifle,c_030
51,vijay kumar,2006-04-08,1.92,60,shooting,india,8972,32,90,10m air rifle,c_025
52,ding feng,2006-04-09,1.61,67,shooting,china,5247,97,33,10m air rifle,c_024
